project,subproject,rca,program_title,yr3_forecast,yr2_forecast,yr1_forecast,yr0_plan,yr1_approp,yr2_oblig,key
project-18,subproject-22,rca-21,program-58,8447,7834.11,8459.73,7167.07,4467.11,4157.59,project-18-subproject-22-rca-21program-58
project-7,subproject-29,rca-54,program-102,12555,14534.4,11795.24,8071.74,4934.71,4646.68,project-7-subproject-29-rca-54program-102
project-19,subproject-32,rca-7,program-102,13722,15704.78,18672.47,17396.35,12078.16,11942.86,project-19-subproject-32-rca-7program-102
project-20,subproject-34,rca-4,program-45,15859,18520.73,15338.99,15681.52,10023.24,9363.05,project-20-subproject-34-rca-4program-45
project-3,subproject-5,rca-67,program-106,5424,3191.01,2597.59,2697.77,1628.61,1515.08,project-3-subproject-5-rca-67program-106
project-10,subproject-6,rca-51,program-113,27900,24859.76,24940.81,27559.61,31181.23,26746.15,project-10-subproject-6-rca-51program-113
project-13,subproject-39,rca-46,program-83,6300,4391.96,3804.59,2524.06,3025.36,2501.73,project-13-subproject-39-rca-46program-83
project-3,subproject-39,rca-78,program-99,13788,11292.22,9453.55,10183.56,7650.3,6360.07,project-3-subproject-39-rca-78program-99
project-18,subproject-7,rca-60,program-56,15321,13344.79,12758.51,11151.22,12361.28,11887.68,project-18-subproject-7-rca-60program-56
project-2,subproject-5,rca-34,program-79,29417,28780.14,30221.09,24379.75,21034.37,20692.97,project-2-subproject-5-rca-34program-79
project-11,subproject-26,rca-1,program-7,3838,3134.66,3587.35,3661.97,2944.84,2487.67,project-11-subproject-26-rca-1program-7
project-17,subproject-23,rca-38,program-72,18680,9765.04,8871.01,6503.78,6178.92,5528.38,project-17-subproject-23-rca-38program-72
project-7,subproject-11,rca-77,program-99,19796,12674.13,13619.76,13834.89,8986.92,8175.01,project-7-subproject-11-rca-77program-99
project-7,subproject-12,rca-5,program-47,25176,17887.56,18287.23,21765.1,25011.92,21491.24,project-7-subproject-12-rca-5program-47
project-13,subproject-10,rca-55,program-33,9402,12120.54,10862.74,8679.61,7554.38,6071.87,project-13-subproject-10-rca-55program-33
project-10,subproject-9,rca-73,program-81,26997,20369.42,18620.68,19616.47,16395.19,14692.96,project-10-subproject-9-rca-73program-81
project-14,subproject-38,rca-75,program-87,13777,9227.08,9225.08,8258.41,8407.8,8172.28,project-14-subproject-38-rca-75program-87
project-17,subproject-3,rca-14,program-54,29761,32990.46,32596.06,40822.72,29524.18,23930.25,project-17-subproject-3-rca-14program-54
project-11,subproject-29,rca-59,program-75,27116,19142.8,22754.17,24691.19,15599.84,14160.13,project-11-subproject-29-rca-59program-75
project-10,subproject-12,rca-13,program-114,1845,2218.55,1954.45,1780.58,1284.28,1141.06,project-10-subproject-12-rca-13program-114
project-4,subproject-40,rca-72,program-57,5274,4017.16,4170.35,5192.35,4682.59,4365.13,project-4-subproject-40-rca-72program-57
project-19,subproject-14,rca-47,program-38,10943,13513.4,13051.81,9695.73,9232.64,8047.08,project-19-subproject-14-rca-47program-38
project-13,subproject-7,rca-49,program-100,1758,1713.03,1821.6,2190.68,2020.0,1689.9,project-13-subproject-7-rca-49program-100
project-13,subproject-36,rca-50,program-81,17380,17970.01,18440.05,16586.75,11724.41,10188.51,project-13-subproject-36-rca-50program-81
project-1,subproject-35,rca-9,program-31,18070,9446.94,7758.15,9772.35,10550.41,9482.19,project-1-subproject-35-rca-9program-31
project-20,subproject-38,rca-67,program-104,7435,4039.17,3856.23,2713.39,2163.49,2072.08,project-20-subproject-38-rca-67program-104
project-10,subproject-21,rca-15,program-112,7421,5747.94,6839.7,7121.67,8110.0,7559.7,project-10-subproject-21-rca-15program-112
project-7,subproject-35,rca-43,program-32,14860,18021.57,14709.91,15301.94,15775.88,14677.09,project-7-subproject-35-rca-43program-32
project-10,subproject-29,rca-50,program-36,27687,19360.51,15727.85,16383.13,15069.66,12818.92,project-10-subproject-29-rca-50program-36
project-6,subproject-38,rca-39,program-26,3493,3273.71,2809.16,3475.6,3331.97,3036.68,project-6-subproject-38-rca-39program-26
project-6,subproject-1,rca-41,program-95,21822,26778.39,22890.98,27815.08,18438.81,15590.67,project-6-subproject-1-rca-41program-95
project-7,subproject-14,rca-21,program-34,15854,16509.33,19304.57,21301.94,17268.85,14062.42,project-7-subproject-14-rca-21program-34
project-6,subproject-7,rca-1,program-14,2605,3236.08,3037.89,2004.79,1975.06,1599.18,project-6-subproject-7-rca-1program-14
project-9,subproject-27,rca-51,program-36,11521,11694.88,14011.71,13630.57,10819.88,10278.15,project-9-subproject-27-rca-51program-36
project-18,subproject-5,rca-71,program-52,17776,12777.9,11110.06,12725.92,9275.78,8197.0,project-18-subproject-5-rca-71program-52
project-2,subproject-8,rca-30,program-51,2187,2386.3,2418.41,2609.96,2049.36,1827.05,project-2-subproject-8-rca-30program-51
project-7,subproject-10,rca-76,program-60,27146,34925.97,40903.12,30456.33,24987.84,20950.13,project-7-subproject-10-rca-76program-60
project-15,subproject-24,rca-1,program-39,18374,15315.18,12262.21,11523.19,13626.65,13241.48,project-15-subproject-24-rca-1program-39
project-2,subproject-21,rca-56,program-56,3792,3643.11,3087.94,2228.26,1843.55,1640.64,project-2-subproject-21-rca-56program-56
project-16,subproject-38,rca-28,program-110,23545,30426.12,29975.36,29637.63,26657.57,26372.79,project-16-subproject-38-rca-28program-110
project-20,subproject-33,rca-60,program-63,11977,10842.16,8994.63,8049.0,6508.68,6358.56,project-20-subproject-33-rca-60program-63
project-9,subproject-11,rca-27,program-42,22467,16459.43,17627.03,20728.93,23515.9,22097.41,project-9-subproject-11-rca-27program-42
project-18,subproject-14,rca-17,program-17,22895,15244.11,16439.6,18011.48,20281.93,18901.75,project-18-subproject-14-rca-17program-17
project-17,subproject-4,rca-53,program-51,29530,27447.43,22986.63,24996.04,29854.05,29490.16,project-17-subproject-4-rca-53program-51
project-9,subproject-36,rca-39,program-32,26813,27716.96,28477.06,30696.54,34854.09,32020.53,project-9-subproject-36-rca-39program-32
project-2,subproject-33,rca-53,program-13,19107,20987.09,21224.69,16414.98,18240.04,15357.36,project-2-subproject-33-rca-53program-13
project-12,subproject-19,rca-59,program-33,26158,29924.29,24500.39,31834.18,24721.87,22217.1,project-12-subproject-19-rca-59program-33
project-16,subproject-18,rca-40,program-12,8405,5378.5,4381.7,5598.55,3652.98,3023.67,project-16-subproject-18-rca-40program-12
project-13,subproject-21,rca-15,program-113,23607,14573.87,12170.42,14736.07,16457.42,14871.7,project-13-subproject-21-rca-15program-113
project-9,subproject-21,rca-8,program-101,3584,4292.44,3482.53,3400.26,3925.11,3913.2,project-9-subproject-21-rca-8program-101
project-12,subproject-3,rca-55,program-87,8009,9152.49,10634.77,7796.64,6904.97,6034.39,project-12-subproject-3-rca-55program-87
project-15,subproject-12,rca-46,program-112,6999,6164.95,7028.41,8570.41,7795.65,6840.91,project-15-subproject-12-rca-46program-112
project-3,subproject-29,rca-38,program-17,1091,646.07,773.21,695.88,831.06,675.92,project-3-subproject-29-rca-38program-17
project-10,subproject-37,rca-42,program-114,27801,23622.53,20042.52,12822.01,14204.37,14189.5,project-10-subproject-37-rca-42program-114
project-10,subproject-34,rca-42,program-35,14809,18569.19,17667.22,13375.84,9882.59,9503.7,project-10-subproject-34-rca-42program-35
project-9,subproject-19,rca-18,program-72,6613,4579.68,4432.59,3925.67,4523.01,3661.33,project-9-subproject-19-rca-18program-72
project-16,subproject-19,rca-39,program-78,26165,16883.34,19526.63,20134.74,14289.28,13340.4,project-16-subproject-19-rca-39program-78
project-5,subproject-30,rca-11,program-92,12258,14697.63,15720.28,18229.34,11582.04,11386.9,project-5-subproject-30-rca-11program-92
project-17,subproject-9,rca-80,program-94,7681,5025.44,5299.4,5370.58,4958.55,4862.49,project-17-subproject-9-rca-80program-94
project-19,subproject-9,rca-49,program-98,16648,8505.15,7260.08,7496.92,8337.74,7507.16,project-19-subproject-9-rca-49program-98
project-8,subproject-12,rca-71,program-33,28276,25763.5,25959.48,24847.33,24515.69,23237.22,project-8-subproject-12-rca-71program-33
project-10,subproject-39,rca-2,program-97,9480,6628.67,7277.27,7926.39,6191.75,5644.38,project-10-subproject-39-rca-2program-97
project-19,subproject-31,rca-30,program-79,27609,25964.46,30338.08,30254.23,33628.68,32444.12,project-19-subproject-31-rca-30program-79
project-17,subproject-19,rca-6,program-11,7366,6621.15,6512.49,6259.15,4336.85,3937.88,project-17-subproject-19-rca-6program-11
project-18,subproject-9,rca-45,program-74,20449,13200.53,15025.37,17688.52,13140.58,11305.4,project-18-subproject-9-rca-45program-74
project-11,subproject-37,rca-18,program-47,6092,5449.27,4828.61,4573.25,5207.34,4353.45,project-11-subproject-37-rca-18program-47
project-8,subproject-1,rca-11,program-11,3719,2634.09,3158.82,3515.84,2922.43,2599.23,project-8-subproject-1-rca-11program-11
project-8,subproject-31,rca-63,program-38,19885,16661.29,16040.51,10676.08,11088.86,10423.81,project-8-subproject-31-rca-63program-38
project-12,subproject-19,rca-6,program-100,2594,3195.93,2796.35,2762.06,2122.91,2096.12,project-12-subproject-19-rca-6program-100
project-2,subproject-6,rca-33,program-76,7523,8597.28,8002.46,5661.51,5875.97,5189.24,project-2-subproject-6-rca-33program-76
project-9,subproject-40,rca-28,program-103,1886,1253.05,1217.81,1074.3,919.18,848.39,project-9-subproject-40-rca-28program-103
project-2,subproject-25,rca-47,program-14,9833,9665.87,9629.31,6001.69,4911.8,4209.91,project-2-subproject-25-rca-47program-14
project-7,subproject-31,rca-73,program-35,22575,25355.59,26633.13,18939.31,21189.92,20232.14,project-7-subproject-31-rca-73program-35
project-8,subproject-21,rca-63,program-59,24569,21793.3,18557.95,15300.79,15189.58,13837.9,project-8-subproject-21-rca-63program-59
project-3,subproject-12,rca-64,program-14,28238,16991.67,16747.01,13403.32,8449.53,8436.16,project-3-subproject-12-rca-64program-14
project-3,subproject-40,rca-50,program-70,3939,3966.36,3481.39,4260.02,3404.82,3095.53,project-3-subproject-40-rca-50program-70
project-3,subproject-22,rca-11,program-107,22030,18782.08,15897.24,9905.35,8282.84,7551.16,project-3-subproject-22-rca-11program-107
project-19,subproject-34,rca-76,program-30,5284,5208.55,5720.73,5978.58,4301.26,4206.29,project-19-subproject-34-rca-76program-30
project-17,subproject-38,rca-46,program-56,5829,5367.84,4401.64,3650.13,3031.23,2827.97,project-17-subproject-38-rca-46program-56
project-12,subproject-17,rca-59,program-100,27936,15896.6,12885.77,12656.66,14375.58,14135.85,project-12-subproject-17-rca-59program-100
project-15,subproject-3,rca-63,program-25,10850,12014.44,13741.32,14716.9,9656.17,9378.92,project-15-subproject-3-rca-63program-25
project-17,subproject-25,rca-51,program-35,21832,25987.19,28809.33,26397.27,16701.07,14481.77,project-17-subproject-25-rca-51program-35
project-17,subproject-26,rca-63,program-102,28636,16351.4,19047.61,23893.16,25050.97,20157.52,project-17-subproject-26-rca-63program-102
project-3,subproject-39,rca-49,program-9,10377,9933.08,9473.7,7544.05,8500.07,7472.89,project-3-subproject-39-rca-49program-9
project-1,subproject-1,rca-38,program-116,19120,12249.24,10252.73,6771.58,5442.99,4362.09,project-1-subproject-1-rca-38program-116
project-4,subproject-32,rca-60,program-14,5625,6562.23,5361.84,4638.3,3400.12,2808.13,project-4-subproject-32-rca-60program-14
project-7,subproject-5,rca-75,program-21,19332,16198.2,15888.0,13086.58,13261.07,12592.43,project-7-subproject-5-rca-75program-21
project-18,subproject-8,rca-74,program-114,6142,5880.11,4756.31,6112.93,4626.79,3882.6,project-18-subproject-8-rca-74program-114
project-1,subproject-14,rca-23,program-8,24317,27664.0,32523.32,32687.99,35377.65,28772.79,project-1-subproject-14-rca-23program-8
project-9,subproject-28,rca-34,program-21,5939,4019.06,3617.85,4259.0,3530.65,3016.21,project-9-subproject-28-rca-34program-21
project-14,subproject-9,rca-66,program-44,2840,2992.72,2674.89,2346.41,1925.4,1572.12,project-14-subproject-9-rca-66program-44
project-4,subproject-25,rca-25,program-94,6954,8315.11,8292.03,10458.35,8208.56,6696.68,project-4-subproject-25-rca-25program-94
project-7,subproject-11,rca-21,program-44,6502,7083.16,6486.65,5390.2,3406.18,3302.09,project-7-subproject-11-rca-21program-44
project-6,subproject-37,rca-14,program-119,21961,14887.55,16726.33,13356.23,13728.94,11182.21,project-6-subproject-37-rca-14program-119
project-15,subproject-18,rca-47,program-9,18445,22726.45,19788.94,14469.06,12985.8,12567.47,project-15-subproject-18-rca-47program-9
project-17,subproject-26,rca-41,program-23,22767,12364.17,12338.45,15069.29,14400.02,14365.68,project-17-subproject-26-rca-41program-23
project-15,subproject-18,rca-59,program-74,10286,5351.9,5226.75,4699.47,5493.15,5044.6,project-15-subproject-18-rca-59program-74
project-4,subproject-31,rca-25,program-45,29832,25577.86,21630.77,24237.22,22995.14,22824.28,project-4-subproject-31-rca-25program-45
project-18,subproject-28,rca-73,program-55,4956,4527.02,4307.7,5041.18,4051.05,3480.88,project-18-subproject-28-rca-73program-55
project-16,subproject-39,rca-24,program-10,8203,7587.71,8881.4,8847.69,9454.17,7602.01,project-16-subproject-39-rca-24program-10
project-16,subproject-37,rca-31,program-71,13047,10670.98,12636.03,10441.83,7624.14,6370.45,project-16-subproject-37-rca-31program-71
project-8,subproject-11,rca-32,program-23,18757,15732.62,15075.51,18066.45,20231.75,16925.78,project-8-subproject-11-rca-32program-23
project-16,subproject-20,rca-71,program-100,14279,9372.59,7852.58,9434.06,8977.38,8529.65,project-16-subproject-20-rca-71program-100
project-3,subproject-17,rca-74,program-89,10115,8706.34,10073.13,9272.17,7648.85,7642.39,project-3-subproject-17-rca-74program-89
project-6,subproject-26,rca-43,program-106,29343,20007.0,21831.33,14491.45,15720.35,15404.87,project-6-subproject-26-rca-43program-106
project-18,subproject-4,rca-28,program-21,4003,2061.79,2314.84,2672.11,2806.72,2788.71,project-18-subproject-4-rca-28program-21
project-9,subproject-30,rca-73,program-9,9965,11327.92,13181.72,12039.85,8215.09,6773.93,project-9-subproject-30-rca-73program-9
project-6,subproject-20,rca-79,program-73,18531,16792.01,17120.25,14851.83,16594.39,15436.75,project-6-subproject-20-rca-79program-73
project-2,subproject-23,rca-64,program-31,22669,21890.15,24671.26,27460.76,23237.85,22824.73,project-2-subproject-23-rca-64program-31
project-7,subproject-39,rca-44,program-89,4318,3511.17,3211.26,3403.58,3669.54,3331.66,project-7-subproject-39-rca-44program-89
project-10,subproject-37,rca-75,program-86,6567,5215.14,5833.4,4941.96,3127.89,2950.03,project-10-subproject-37-rca-75program-86
project-2,subproject-6,rca-35,program-2,5931,7043.92,8071.02,8972.58,6456.7,5512.89,project-2-subproject-6-rca-35program-2
project-15,subproject-17,rca-55,program-51,26335,20243.5,16637.19,13288.46,14668.18,13305.57,project-15-subproject-17-rca-55program-51
project-1,subproject-26,rca-14,program-117,25475,14436.91,11940.5,13095.12,13991.02,11695.45,project-1-subproject-26-rca-14program-117
project-16,subproject-32,rca-24,program-51,14286,7604.11,8010.71,5101.37,5014.6,4689.29,project-16-subproject-32-rca-24program-51
project-8,subproject-33,rca-79,program-17,25685,27779.92,23354.99,27646.31,19904.54,17089.45,project-8-subproject-33-rca-79program-17
project-19,subproject-19,rca-48,program-49,9746,9833.19,8981.06,6920.85,7957.93,7879.35,project-19-subproject-19-rca-48program-49
project-12,subproject-2,rca-60,program-64,18038,14077.21,15524.19,9611.19,8910.88,8866.97,project-12-subproject-2-rca-60program-64
project-17,subproject-19,rca-49,program-77,25065,20034.34,19174.25,17635.22,17444.64,17179.38,project-17-subproject-19-rca-49program-77
project-10,subproject-25,rca-31,program-48,22108,26636.58,28462.68,18307.57,17564.21,16120.96,project-10-subproject-25-rca-31program-48
project-7,subproject-11,rca-4,program-98,25868,25932.61,22934.39,28505.35,30136.74,24595.86,project-7-subproject-11-rca-4program-98
project-9,subproject-36,rca-18,program-93,2591,1581.94,1335.98,876.96,688.89,675.35,project-9-subproject-36-rca-18program-93
project-4,subproject-20,rca-9,program-87,2248,1377.69,1582.49,1639.09,1660.36,1567.57,project-4-subproject-20-rca-9program-87
project-2,subproject-26,rca-8,program-65,7895,7834.44,7110.25,8987.95,5601.81,4560.27,project-2-subproject-26-rca-8program-65
project-20,subproject-1,rca-11,program-119,14900,12394.78,12599.58,9814.82,8234.95,7134.32,project-20-subproject-1-rca-11program-119
project-18,subproject-30,rca-10,program-94,11139,10538.89,11898.84,10258.97,9302.97,8771.98,project-18-subproject-30-rca-10program-94
project-9,subproject-1,rca-29,program-95,19935,10047.77,8606.98,7249.02,7395.61,6862.44,project-9-subproject-1-rca-29program-95
project-9,subproject-4,rca-47,program-16,29762,29244.77,30683.21,25338.04,17856.11,16902.51,project-9-subproject-4-rca-47program-16
project-6,subproject-30,rca-7,program-50,2483,1267.34,1393.6,1371.29,1323.53,1118.26,project-6-subproject-30-rca-7program-50
project-18,subproject-3,rca-68,program-70,5954,4614.05,4306.08,2654.24,1800.84,1547.43,project-18-subproject-3-rca-68program-70
project-12,subproject-38,rca-74,program-33,15070,12035.31,11974.43,9842.14,9364.73,7492.3,project-12-subproject-38-rca-74program-33
project-20,subproject-20,rca-19,program-69,16569,9172.5,9439.54,7241.53,5098.15,4630.44,project-20-subproject-20-rca-19program-69
project-10,subproject-32,rca-67,program-80,26740,28981.05,24293.8,27616.07,30500.52,27425.52,project-10-subproject-32-rca-67program-80
project-16,subproject-36,rca-15,program-103,12242,13069.24,10835.84,9885.45,11589.83,11482.02,project-16-subproject-36-rca-15program-103
project-18,subproject-20,rca-21,program-47,21202,24065.55,19425.3,13869.47,14159.76,13189.5,project-18-subproject-20-rca-21program-47
project-6,subproject-40,rca-15,program-1,7308,6020.11,6060.19,6003.92,6536.61,6260.94,project-6-subproject-40-rca-15program-1
project-5,subproject-35,rca-55,program-23,16653,15432.36,15463.06,18673.49,17234.96,16974.18,project-5-subproject-35-rca-55program-23
project-3,subproject-24,rca-55,program-14,26011,20940.38,25115.06,31867.22,23829.79,19086.05,project-3-subproject-24-rca-55program-14
project-9,subproject-3,rca-73,program-108,14073,17692.7,18526.18,16038.86,13082.9,12937.67,project-9-subproject-3-rca-73program-108
project-17,subproject-28,rca-75,program-64,4048,2401.53,2651.93,2778.72,1955.53,1634.07,project-17-subproject-28-rca-75program-64
project-8,subproject-27,rca-69,program-34,24641,12764.61,12327.41,14966.71,15047.91,14552.59,project-8-subproject-27-rca-69program-34
project-18,subproject-3,rca-1,program-6,20829,11602.82,11750.12,7125.51,6256.46,5671.02,project-18-subproject-3-rca-1program-6
project-16,subproject-12,rca-25,program-62,15372,18239.44,18813.11,23465.12,22575.94,18487.48,project-16-subproject-12-rca-25program-62
project-9,subproject-35,rca-32,program-18,20520,13023.62,10552.1,10598.03,11206.78,10062.44,project-9-subproject-35-rca-32program-18
project-20,subproject-26,rca-18,program-85,22062,13698.12,14503.0,14805.55,17153.11,16306.27,project-20-subproject-26-rca-18program-85
project-7,subproject-11,rca-69,program-79,25003,24187.32,27390.13,23292.66,20868.95,19307.45,project-7-subproject-11-rca-69program-79
project-18,subproject-11,rca-11,program-86,1782,1148.0,936.32,1064.48,1144.04,1061.08,project-18-subproject-11-rca-11program-86
project-6,subproject-36,rca-70,program-35,7705,6190.72,6610.9,8125.64,7205.6,6896.4,project-6-subproject-36-rca-70program-35
project-13,subproject-19,rca-79,program-105,18756,10627.44,9531.75,7337.49,4568.06,3701.17,project-13-subproject-19-rca-79program-105
project-1,subproject-37,rca-58,program-28,23644,29325.07,26753.5,33193.74,20922.1,19671.72,project-1-subproject-37-rca-58program-28
project-13,subproject-35,rca-38,program-37,4182,4482.47,4964.66,3102.69,3135.37,2828.83,project-13-subproject-35-rca-38program-37
project-2,subproject-24,rca-3,program-89,13073,11391.43,13650.12,13994.12,11344.28,10603.9,project-2-subproject-24-rca-3program-89
project-9,subproject-3,rca-74,program-40,11713,14179.48,14620.92,17485.07,10515.7,8715.98,project-9-subproject-3-rca-74program-40
project-18,subproject-34,rca-43,program-63,26771,25492.88,24468.0,20365.86,13995.93,11721.41,project-18-subproject-34-rca-43program-63
project-12,subproject-23,rca-72,program-2,7413,9134.2,8615.09,7534.23,4810.3,4578.12,project-12-subproject-23-rca-72program-2
project-15,subproject-3,rca-30,program-101,19893,17326.76,16754.62,13948.9,9500.14,9271.54,project-15-subproject-3-rca-30program-101
project-11,subproject-35,rca-55,program-80,5075,5246.94,5874.96,6361.98,6105.8,4975.53,project-11-subproject-35-rca-55program-80
project-5,subproject-30,rca-62,program-50,24078,14783.32,13281.6,13092.61,14916.78,14030.23,project-5-subproject-30-rca-62program-50
project-2,subproject-16,rca-32,program-11,28342,15798.13,17234.34,13575.64,15482.57,14163.66,project-2-subproject-16-rca-32program-11
project-8,subproject-32,rca-75,program-110,28913,27768.34,26941.09,22299.59,23926.41,19867.07,project-8-subproject-32-rca-75program-110
project-8,subproject-27,rca-19,program-66,16813,21660.8,18642.57,23660.71,21909.99,21184.26,project-8-subproject-27-rca-19program-66
project-14,subproject-33,rca-4,program-113,10229,12147.53,10090.65,9753.11,6772.36,5647.08,project-14-subproject-33-rca-4program-113
project-14,subproject-33,rca-68,program-80,18527,15650.71,13547.67,8945.77,5530.4,5407.54,project-14-subproject-33-rca-68program-80
project-12,subproject-19,rca-22,program-89,20524,15638.87,16860.98,12058.37,13072.57,11691.35,project-12-subproject-19-rca-22program-89
project-17,subproject-35,rca-67,program-99,14218,16591.0,15617.93,9514.41,9653.13,8991.51,project-17-subproject-35-rca-67program-99
project-4,subproject-39,rca-18,program-108,15003,8102.62,8508.91,8180.44,7948.49,7425.95,project-4-subproject-39-rca-18program-108
project-1,subproject-40,rca-45,program-54,21798,14463.42,13721.91,9270.18,10998.41,10577.55,project-1-subproject-40-rca-45program-54
project-7,subproject-31,rca-46,program-77,27322,21143.65,17729.81,11931.32,12571.12,11494.26,project-7-subproject-31-rca-46program-77
project-5,subproject-9,rca-6,program-8,14832,15898.91,14598.23,14180.52,15683.1,13433.41,project-5-subproject-9-rca-6program-8
project-2,subproject-23,rca-29,program-60,15140,14006.21,15740.33,9865.4,8516.81,7876.82,project-2-subproject-23-rca-29program-60
project-13,subproject-7,rca-51,program-101,21074,22091.4,20942.47,19897.86,19344.13,18657.96,project-13-subproject-7-rca-51program-101
project-11,subproject-24,rca-38,program-9,24121,13825.5,14047.93,11182.36,9561.65,8390.49,project-11-subproject-24-rca-38program-9
project-16,subproject-38,rca-17,program-98,21821,14980.21,17316.53,19498.81,13760.1,12561.43,project-16-subproject-38-rca-17program-98
project-20,subproject-28,rca-78,program-33,17429,12409.44,13497.82,16261.92,18529.9,15136.73,project-20-subproject-28-rca-78program-33
project-15,subproject-2,rca-46,program-117,16334,13083.25,10756.71,10963.83,11284.51,10515.65,project-15-subproject-2-rca-46program-117
project-20,subproject-30,rca-34,program-69,5242,6064.86,4984.87,4878.57,3726.99,3238.53,project-20-subproject-30-rca-34program-69
project-14,subproject-28,rca-74,program-25,2707,2324.47,2231.28,1717.86,1324.99,1104.26,project-14-subproject-28-rca-74program-25
project-1,subproject-24,rca-6,program-31,29582,32920.22,34979.8,41329.16,25932.82,23400.83,project-1-subproject-24-rca-6program-31
project-16,subproject-36,rca-6,program-86,13213,10695.65,11542.99,11559.6,12783.34,11787.4,project-16-subproject-36-rca-6program-86
project-2,subproject-1,rca-60,program-86,17061,20838.64,21469.27,13480.44,13787.94,11357.95,project-2-subproject-1-rca-60program-86
project-17,subproject-12,rca-36,program-110,10426,11625.45,11933.76,10506.49,9673.42,9133.84,project-17-subproject-12-rca-36program-110
project-2,subproject-39,rca-11,program-60,24064,18986.32,16317.03,16076.22,11957.47,11701.5,project-2-subproject-39-rca-11program-60
project-5,subproject-35,rca-42,program-89,6086,5423.14,5057.03,5774.22,3977.65,3612.52,project-5-subproject-35-rca-42program-89
project-16,subproject-32,rca-39,program-24,5469,5532.83,5724.48,5267.29,3332.32,2763.46,project-16-subproject-32-rca-39program-24
project-5,subproject-1,rca-6,program-68,10257,6168.57,7357.16,5439.72,5943.02,5063.45,project-5-subproject-1-rca-6program-68
project-17,subproject-29,rca-12,program-24,4722,3042.62,2564.6,2944.29,3351.98,3317.11,project-17-subproject-29-rca-12program-24
project-14,subproject-1,rca-58,program-25,12111,14793.0,12292.17,8869.93,9763.59,8126.7,project-14-subproject-1-rca-58program-25
project-20,subproject-8,rca-36,program-117,20874,24834.16,27664.58,17416.12,18407.7,16357.94,project-20-subproject-8-rca-36program-117
project-5,subproject-36,rca-59,program-18,4795,5814.5,5276.22,6722.54,7666.23,6454.04,project-5-subproject-36-rca-59program-18
project-17,subproject-9,rca-44,program-52,23325,13838.83,16158.46,17649.52,11529.69,9274.77,project-17-subproject-9-rca-44program-52
project-7,subproject-18,rca-71,program-18,16715,13951.35,16412.48,19015.81,17020.69,13727.58,project-7-subproject-18-rca-71program-18
project-19,subproject-34,rca-53,program-63,6203,6571.92,7503.46,5497.43,5873.8,5012.34,project-19-subproject-34-rca-53program-63
project-8,subproject-36,rca-76,program-119,4472,3165.01,3017.06,3132.47,2676.45,2502.44,project-8-subproject-36-rca-76program-119
project-15,subproject-21,rca-49,program-106,12380,15204.5,14884.83,10502.3,7663.28,7148.97,project-15-subproject-21-rca-49program-106
project-1,subproject-33,rca-75,program-104,21716,21489.03,23852.87,15526.46,17345.8,15611.45,project-1-subproject-33-rca-75program-104
project-2,subproject-23,rca-42,program-26,6441,5764.62,5127.68,4982.26,5747.46,4971.65,project-2-subproject-23-rca-42program-26
project-6,subproject-38,rca-2,program-33,29197,17986.83,14874.7,12619.87,12263.63,11557.29,project-6-subproject-38-rca-2program-33
project-11,subproject-19,rca-20,program-102,7954,7585.25,6611.49,6809.11,4422.92,3814.85,project-11-subproject-19-rca-20program-102
project-14,subproject-29,rca-64,program-75,23384,27007.34,24397.92,20837.03,15358.08,13570.88,project-14-subproject-29-rca-64program-75
project-15,subproject-39,rca-28,program-7,25565,31175.86,26044.01,30359.96,26207.8,21851.9,project-15-subproject-39-rca-28program-7
project-20,subproject-11,rca-20,program-89,21991,19626.27,20204.53,22145.34,14938.53,14053.12,project-20-subproject-11-rca-20program-89
project-13,subproject-11,rca-26,program-69,14014,14661.87,12146.62,13891.37,12526.87,11494.05,project-13-subproject-11-rca-26program-69
project-13,subproject-2,rca-70,program-4,2937,3439.38,3817.78,2492.01,1620.83,1581.17,project-13-subproject-2-rca-70program-4
project-19,subproject-17,rca-36,program-95,20566,19500.84,18444.79,22375.69,15950.06,14737.79,project-19-subproject-17-rca-36program-95
project-17,subproject-35,rca-1,program-8,10858,7794.99,8393.53,10423.27,11751.25,9575.28,project-17-subproject-35-rca-1program-8
project-10,subproject-20,rca-1,program-34,11737,7899.63,7415.22,6303.26,5845.32,5815.75,project-10-subproject-20-rca-1program-34
project-9,subproject-14,rca-40,program-63,18006,9045.83,8086.79,5532.48,3878.39,3790.55,project-9-subproject-14-rca-40program-63
project-5,subproject-6,rca-37,program-29,9658,8084.35,8111.9,4983.64,3172.93,2823.67,project-5-subproject-6-rca-37program-29
project-15,subproject-31,rca-42,program-105,8007,5521.2,6134.45,3694.05,2480.65,2249.63,project-15-subproject-31-rca-42program-105
project-8,subproject-39,rca-4,program-110,29913,15083.6,16679.59,18612.38,17620.9,17211.65,project-8-subproject-39-rca-4program-110
project-9,subproject-19,rca-38,program-61,9831,9466.75,9426.61,10587.86,10899.75,10808.58,project-9-subproject-19-rca-38program-61
project-13,subproject-7,rca-65,program-113,1543,1999.83,2314.58,2887.64,2582.47,2499.89,project-13-subproject-7-rca-65program-113
project-19,subproject-5,rca-10,program-31,2798,2899.23,3063.07,2180.81,1955.46,1768.48,project-19-subproject-5-rca-10program-31
project-19,subproject-23,rca-39,program-30,26052,21966.53,24362.22,28503.61,24150.3,21253.71,project-19-subproject-23-rca-39program-30
